canal,video,data,video_view,video_like,video_comment
Brunim Neet's,A BASE SECRETA MAIS SECRETA DE TODAS U.U! STONKSCRAFT #06,2023-03-19T23:00:20Z,163335,17742,216
Brunim Neet's,PEGUEI ELE NA MINHA ARMADILHA COM A INVISIBILIDADE PERFEITA! STONKSCRAFT #05,2023-03-17T23:00:00Z,193767,17687,295
Brunim Neet's,O JEITO MAIS LOUCO DE SE MINERAR NO MINECRAFT! STONKSCRAFT 04,2023-03-16T23:00:00Z,166326,17348,195
Brunim Neet's,TRANSFORMEI TODOS EM VAMPIRO NESSE SERVIDOR! STONKSCRAFT 03,2023-03-15T21:00:10Z,171888,18558,222
Brunim Neet's,VIREI PASTOR PRA FICAR RICO NESSE SERVIDOR! STONKSCRAFT #2,2023-03-14T22:00:04Z,143955,17168,157
Brunim Neet's,StonksCraft 2! O ÍNICIO DA SÉRIE QUE MUDOU MINHA VIDA!,2023-03-13T22:00:08Z,185515,22421,469
Brunim Neet's,UM NOVO COMEÇO! TRALHA CITY!,2023-02-26T21:00:00Z,42794,5947,274
Brunim Neet's,REVELEI OS SEGREDOS DE TODOS OS YOUTUBERS! no MINECRAFT SECRETO FIM!,2022-11-27T21:00:08Z,82688,10346,307
Brunim Neet's,EU FINALMENTE CONSEGUI TODOS! no MINECRAFT SECRETO!,2022-11-13T21:00:32Z,59031,6559,226
Brunim Neet's,BASE COLOSSAL  COM HACKS DE DEFESA 100% IMPENETRÁVEL no MINECRAFT SECRETO!,2022-11-06T21:00:20Z,56135,6996,216
Brunim Neet's,CONSIGO TODOS OS ITEM ILEGAIS USANDO ISSO no MINECRAFT SECRETO!,2022-11-01T21:00:08Z,50142,6104,155
Brunim Neet's,CRIEI UM NOVO BOSS e FIZ ELE ME PROTEGER DOS MEUS INIMIGOS no MINECRAFT SECRETO!,2022-10-30T21:00:16Z,59948,7314,279
Brunim Neet's,FIZ 10.000 VILLAGERS TRABALHAREM PRA MIM no MINECRAFT SECRETO!,2022-09-28T21:00:14Z,82006,11388,281
Brunim Neet's,FIZ UMA BASE SECRETA DENTRO DE UM BÁU o.O no MINECRAFT SECRETO!,2022-09-22T21:05:00Z,89445,11323,278
Brunim Neet's,FIZ UM EXERCITO DE RATOS  e BUSCAREI VINGANÇA CONTRA QUEM ME ROUBAR no MINECRAFT SECRETO!,2022-09-18T21:00:10Z,119367,12970,274
Brunim Neet's,MINEREI TODOS OS MINÉRIOS DO MAPA HEHE no MINECRAFT SECRETO!,2022-09-15T21:00:00Z,114231,13697,202
Brunim Neet's,A MELHOR ARMADILHA CONTRA ROUBOS no MINECRAFT SECRETO!,2022-09-11T21:00:19Z,120237,12718,198
Brunim Neet's,24 HORAS PRA FAZER A BASE 100% SEGURA no MINECRAFT SECRETO!,2022-09-08T21:00:30Z,96453,11935,201
